,0,1
0,1.0,-71876.63213174064
1,1.0,-73901.78471569235
2,1.0,-87218.41407905078
3,2.0,-136832.74349567769
4,2.0,-152093.28113403614
5,2.0,-207651.0538674876
6,3.0,-72886.69903004482
7,3.0,-84792.72507449408
8,3.0,-81726.9063864837
9,4.0,-100379.01800465662
10,4.0,-76942.03903814992
11,4.0,-54344.16956903873
12,5.0,-205588.60538193778
13,5.0,-250623.29286021396
14,5.0,-280990.1131981303
15,6.0,-284674.00583636016
16,6.0,-213718.9570104484
17,6.0,-187201.80697704243
18,7.0,-233705.29917032702
19,7.0,-259588.74811170597
20,7.0,-304345.22047723323
21,8.0,-76923.56914382004
22,8.0,-53874.921940155065
23,8.0,-134117.05733532785
24,9.0,-92476.7043792069
25,9.0,-113532.3725040901
26,9.0,-141095.2530984141
27,10.0,-172929.37556360415
28,10.0,-119787.96604237656
29,10.0,-159331.74998757476
30,11.0,-103354.61521780668
31,11.0,-82752.76861025934
32,11.0,-157670.37024364772
33,12.0,-64170.81482903014
34,12.0,-118841.44271910435
35,12.0,-73793.97314647783
36,13.0,-91685.80750454881
37,13.0,-114252.01799091905
38,13.0,-77377.21737935017
39,14.0,-82316.2105297846
40,14.0,-59320.50346596582
41,14.0,-90281.33899461245
42,15.0,-171503.94075905049
43,15.0,-156260.43325186172
44,15.0,-78907.65469420164
45,16.0,-117090.0776283986
46,16.0,-128931.8687446765
47,16.0,-87791.68086960599
48,17.0,-162186.31981580288
49,17.0,-175595.99415439143
50,17.0,-177744.16726377525
51,18.0,-150699.41096681793
52,18.0,-109379.33380610446
53,18.0,-131525.36648497861
54,19.0,-133470.70971688666
55,19.0,-140547.69275887794
56,19.0,-130978.36761364457
57,20.0,-171255.33377718943
58,20.0,-134125.1763822068
59,20.0,-124193.8837604889
60,21.0,-15983.082396296486
61,21.0,-15972.266785918013
62,21.0,-15979.405953169839
63,22.0,-15648.261201717683
64,22.0,-15637.924853363027
65,22.0,-15644.178335123233
66,23.0,-13902.783498871377
67,23.0,-13906.686756746014
68,23.0,-13900.488063579325
69,24.0,-12804.940470747506
70,24.0,-12787.527502301198
71,24.0,-12793.727922679764
72,25.0,-21590.77681847375
73,25.0,-21606.840727231654
74,25.0,-21615.092630662897
75,26.0,-26992.100442511848
76,26.0,-26994.015271382366
77,26.0,-26996.631031614306
78,27.0,-14705.326937562011
79,27.0,-14684.11423239999
80,27.0,-14685.605253057553
81,28.0,-23142.596120171806
82,28.0,-20521.701951283114
83,28.0,-25797.411338842572
84,29.0,-16032.577014498387
85,29.0,-16012.301667954642
86,29.0,-16006.491517256944
87,30.0,-15128.506140219406
88,30.0,-15123.426782927228
89,30.0,-15114.02442259435
90,31.0,-13632.48086376457
91,31.0,-13608.705523186147
92,31.0,-13598.391085216572
93,32.0,-14064.90608725443
94,32.0,-14065.332177946057
95,32.0,-14070.053246759904
96,33.0,-12906.030398883555
97,33.0,-12899.084597173924
98,33.0,-12894.035715301265
99,34.0,-13515.363204675483
100,34.0,-13487.840563517002
101,34.0,-13473.635807844576
102,35.0,-13900.344775158554
103,35.0,-13903.079432832506
104,35.0,-13894.919684781635
105,36.0,-13621.394209314063
106,36.0,-13619.759671191152
107,36.0,-13615.529312287932
108,37.0,-37631.03439890549
109,37.0,-37632.13108830956
110,37.0,-37640.87461023881
111,38.0,-13643.686778661107
112,38.0,-13659.927120338712
113,38.0,-13663.522085964383
114,39.0,-12919.84956673219
115,39.0,-12934.711703044868
116,39.0,-12915.679692646
117,40.0,-12700.69900102037
118,40.0,-12726.38666278014
119,40.0,-12713.155006190855
120,41.0,-12827.302803625986
121,41.0,-12825.900747510686
122,41.0,-12828.268093963547
123,42.0,-13290.093457973122
124,42.0,-13276.56200892604
125,42.0,-13276.144159483238
126,43.0,-29273.121254950664
127,43.0,-34630.544857915644
128,43.0,-31916.52298489516
129,44.0,-41865.61385123572
130,44.0,-41857.02779441851
131,44.0,-41889.08810456629
132,45.0,-12427.634614972887
133,45.0,-12435.403805866006
134,45.0,-12510.35784196457
135,46.0,-12445.258901195597
136,46.0,-12459.292998759747
137,46.0,-12485.23247112741
138,47.0,-24359.33005704339
139,47.0,-24348.024318757314
140,47.0,-24346.294791036664
141,48.0,-19796.592327546656
142,48.0,-19804.73535193647
143,48.0,-19801.63993873626
144,49.0,-12223.751056715822
145,49.0,-12223.127048210954
146,49.0,-12236.32776698923
147,50.0,-12801.210598981683
